Série	Numéro	Nom	Rareté	Nb Normal	Nb Ed1	Nb Reverse	Nb Spéciale	Alternative	Gradées	Image URL
Aventures Ensemble	52/159	Têtampoule de Mashynn	1	1	-1	0	0	1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/52.jpg?class=hd
Aventures Ensemble	53/159	Ampibidou ex de Mashynn	32	0	-1	-1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/53.jpg?class=hd
Aventures Ensemble	54/159	Zapétrel de Mashynn	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/54.jpg?class=hd
Aventures Ensemble	55/159	Fulgulairo de Mashynn	4	1	-1	0	0	1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/55.jpg?class=hd
Aventures Ensemble	56/159	Mélofée ex de Lilie	32	1	-1	-1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/56.jpg?class=hd
Aventures Ensemble	57/159	Ossatueur d'Alola	2	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/57.jpg?class=hd
Aventures Ensemble	58/159	M. Mime	1	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/58.jpg?class=hd
Aventures Ensemble	59/159	Polichombr	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/59.jpg?class=hd
Aventures Ensemble	60/159	Branette	2	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/60.jpg?class=hd
Aventures Ensemble	61/159	Terhal	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/61.jpg?class=hd
Aventures Ensemble	62/159	Métang	1	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/62.jpg?class=hd
Aventures Ensemble	63/159	Métalosse	4	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/63.jpg?class=hd
Aventures Ensemble	64/159	Cryptéro de N	1	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/64.jpg?class=hd
Aventures Ensemble	65/159	Plumeline	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/65.jpg?class=hd
Aventures Ensemble	66/159	Bombydou de Lilie	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/66.jpg?class=hd
Aventures Ensemble	67/159	Rubombelle de Lilie	4	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/67.jpg?class=hd
Aventures Ensemble	68/159	Guérilande de Lilie	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/68.jpg?class=hd
Aventures Ensemble	69/159	Mimiqui ex	32	1	-1	-1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/69.jpg?class=hd
Aventures Ensemble	70/159	Sinistrail	1	0	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/70.jpg?class=hd
Aventures Ensemble	71/159	Grimalin	1	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/71.jpg?class=hd
Aventures Ensemble	72/159	Fourbelin	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/72.jpg?class=hd
Aventures Ensemble	73/159	Angoliath	2	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/73.jpg?class=hd
Aventures Ensemble	74/159	Crèmy	1	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/74.jpg?class=hd
Aventures Ensemble	75/159	Charmilly ex	32	0	-1	-1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/75.jpg?class=hd
Aventures Ensemble	76/159	Osselait	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/76.jpg?class=hd
Aventures Ensemble	77/159	Marcacrin	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/77.jpg?class=hd
Aventures Ensemble	78/159	Cochignon	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/78.jpg?class=hd
Aventures Ensemble	79/159	Mammochon ex	32	0	-1	-1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/79.jpg?class=hd
Aventures Ensemble	80/159	Embrylex	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/80.jpg?class=hd
Aventures Ensemble	81/159	Ymphect	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/81.jpg?class=hd
Aventures Ensemble	82/159	Regirock	4	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/82.jpg?class=hd
Aventures Ensemble	83/159	Pandespiègle	1	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/83.jpg?class=hd
Aventures Ensemble	84/159	Rocabot	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/84.jpg?class=hd
Aventures Ensemble	85/159	Lougaroc	4	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/85.jpg?class=hd
Aventures Ensemble	86/159	Dunaja de Nabil	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/86.jpg?class=hd
Aventures Ensemble	87/159	Dunaconda de Nabil	2	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/87.jpg?class=hd
Aventures Ensemble	88/159	Terracool	1	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/88.jpg?class=hd
Aventures Ensemble	89/159	Terracruel	2	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/89.jpg?class=hd
Aventures Ensemble	90/159	Craparoi	2	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/90.jpg?class=hd
Aventures Ensemble	91/159	Smogo	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/91.jpg?class=hd
Aventures Ensemble	92/159	Smogogo	2	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/92.jpg?class=hd
Aventures Ensemble	93/159	Axoloto de Paldea	1	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/93.jpg?class=hd
Aventures Ensemble	94/159	Terraiste de Paldea-ex	32	0	-1	-1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/94.jpg?class=hd
Aventures Ensemble	95/159	Tyranocif	4	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/95.jpg?class=hd
Aventures Ensemble	96/159	Chacripan de N	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/96.jpg?class=hd
Aventures Ensemble	97/159	Zorua de N	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/97.jpg?class=hd
Aventures Ensemble	98/159	Zoroark ex de N	32	1	-1	-1	0	1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/98.jpg?class=hd
Aventures Ensemble	99/159	Pandarbare	2	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/99.jpg?class=hd
Aventures Ensemble	100/159	Gambex	2	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/100.jpg?class=hd
Aventures Ensemble	101/159	Lestombaile	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/101.jpg?class=hd
Aventures Ensemble	102/159	Lançargot	2	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/102.jpg?class=hd
Aventures Ensemble	103/159	Tic de N	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/103.jpg?class=hd
Aventures Ensemble	104/159	Clic de N	1	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/104.jpg?class=hd
Aventures Ensemble	105/159	Cliticlic de N	2	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/105.jpg?class=hd
Aventures Ensemble	106/159	Limonde de Galar	1	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/106.jpg?class=hd
Aventures Ensemble	107/159	Magearna	4	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/107.jpg?class=hd
Aventures Ensemble	108/159	Corvaillus de Nabil	2	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/108.jpg?class=hd
Aventures Ensemble	109/159	Charibari	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/109.jpg?class=hd
Aventures Ensemble	110/159	Pachyradjah	2	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/110.jpg?class=hd
Aventures Ensemble	111/159	Zacian ex de Nabil	32	1	-1	-1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/111.jpg?class=hd
Aventures Ensemble	112/159	Draby	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/112.jpg?class=hd
Aventures Ensemble	113/159	Drackhaus	1	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/113.jpg?class=hd
Aventures Ensemble	114/159	Drattak ex	32	1	-1	-1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/114.jpg?class=hd
Aventures Ensemble	115/159	Drakkarmin	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/115.jpg?class=hd
Aventures Ensemble	116/159	Reshiram de N	4	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/116.jpg?class=hd
Aventures Ensemble	117/159	Ronflex de Nabil	4	0	-1	0	0	1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/117.jpg?class=hd
Aventures Ensemble	118/159	Fouinette	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/118.jpg?class=hd
Aventures Ensemble	119/159	Fouinar	1	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/119.jpg?class=hd
Aventures Ensemble	120/159	Insolourdo	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/120.jpg?class=hd
Aventures Ensemble	121/159	Deusolourdo ex	32	1	-1	-1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/121.jpg?class=hd
Aventures Ensemble	122/159	Kecleon	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/122.jpg?class=hd
Aventures Ensemble	123/159	Tropius	1	0	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/123.jpg?class=hd
Aventures Ensemble	124/159	Nanméouïe	1	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/124.jpg?class=hd
Aventures Ensemble	125/159	Chinchidou	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/125.jpg?class=hd
Aventures Ensemble	126/159	Pashmilla	2	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/126.jpg?class=hd
Aventures Ensemble	127/159	Sonistrelle	1	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/127.jpg?class=hd
Aventures Ensemble	128/159	Bruyverne	4	1	-1	0	0	1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/128.jpg?class=hd
Aventures Ensemble	129/159	Dodoala	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/129.jpg?class=hd
Aventures Ensemble	130/159	Draïeul	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/130.jpg?class=hd
Aventures Ensemble	131/159	Rongourmand	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/131.jpg?class=hd
Aventures Ensemble	132/159	Rongrigou	2	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/132.jpg?class=hd
Aventures Ensemble	133/159	Minisange de Nabil	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/133.jpg?class=hd
Aventures Ensemble	134/159	Bleuseille de Nabil	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/134.jpg?class=hd
Aventures Ensemble	135/159	Moumouton de Nabil	1	1	-1	0	0	1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/135.jpg?class=hd
Aventures Ensemble	136/159	Moumouflon de Nabil	4	1	-1	0	0	1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/136.jpg?class=hd
Aventures Ensemble	137/159	Nigosier	1	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/137.jpg?class=hd
Aventures Ensemble	138/159	Nigosier de Nabil	2	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/138.jpg?class=hd
Aventures Ensemble	139/159	Gourmelet	1	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/139.jpg?class=hd
Aventures Ensemble	140/159	Fragroin	2	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/140.jpg?class=hd
Aventures Ensemble	141/159	Tapatoès	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/141.jpg?class=hd
Aventures Ensemble	142/159	Milio et Naire	1	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/142.jpg?class=hd
Aventures Ensemble	143/159	Entraînement de Karatéka	1	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/143.jpg?class=hd
Aventures Ensemble	144/159	Entraînement de Karatéka	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/144.jpg?class=hd
Aventures Ensemble	145/159	Entraînement de Karatéka	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/145.jpg?class=hd
Aventures Ensemble	146/159	Exploration de Pierre	2	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/146.jpg?class=hd
Aventures Ensemble	147/159	Sac de Nabil	2	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/147.jpg?class=hd
Aventures Ensemble	148/159	Bandeau Choix de Nabil	2	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/148.jpg?class=hd
Aventures Ensemble	149/159	Esprit Combatif d'Iris	2	1	-1	1	0	1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/149.jpg?class=hd
Aventures Ensemble	150/159	Levalendura	2	1	-1	0	0	1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/150.jpg?class=hd
Aventures Ensemble	151/159	Perle de Lilie	2	1	-1	1	0	1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/151.jpg?class=hd
Aventures Ensemble	152/159	Palais de N	2	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/152.jpg?class=hd
Aventures Ensemble	153/159	PP Plus de N	2	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/153.jpg?class=hd
Aventures Ensemble	154/159	Paddoxton	2	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/154.jpg?class=hd
Aventures Ensemble	155/159	Recherches Professorales Professeur Olim	1	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/155.jpg?class=hd
Aventures Ensemble	156/159	Billet à Échanger	2	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/156.jpg?class=hd
Aventures Ensemble	157/159	Petite Frappe	2	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/157.jpg?class=hd
Aventures Ensemble	158/159	Super Potion	2	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/158.jpg?class=hd
Aventures Ensemble	159/159	Énergie Piquante	2	0	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/159.jpg?class=hd
Aventures Ensemble	160/159	Maracachi	33	0	-1	-1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/160.jpg?class=hd
Aventures Ensemble	161/159	Artikodin	33	0	-1	-1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/161.jpg?class=hd
Aventures Ensemble	162/159	Wailord	33	0	-1	-1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/162.jpg?class=hd
Aventures Ensemble	163/159	Fulgulairo de Mashynn	33	0	-1	-1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/163.jpg?class=hd
Aventures Ensemble	164/159	Rubombelle de Lilie	33	1	-1	-1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/164.jpg?class=hd
Aventures Ensemble	165/159	Marcacrin	33	0	-1	-1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/165.jpg?class=hd
Aventures Ensemble	166/159	Lougaroc	33	1	-1	-1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/166.jpg?class=hd
Aventures Ensemble	167/159	Reshiram de N	33	0	-1	-1	0	1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/167.jpg?class=hd
Aventures Ensemble	168/159	Fouinar	33	0	-1	-1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/168.jpg?class=hd
Aventures Ensemble	169/159	Sonistrelle	33	1	-1	-1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/169.jpg?class=hd
Aventures Ensemble	170/159	Moumouton de Nabil	33	0	-1	-1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/170.jpg?class=hd
Aventures Ensemble	171/159	Volcanion ex	34	1	-1	-1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/171.jpg?class=hd
Aventures Ensemble	172/159	Ampibidou ex de Mashynn	34	0	-1	-1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/172.jpg?class=hd
Aventures Ensemble	173/159	Mélofée ex de Lilie	34	0	-1	-1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/173.jpg?class=hd
